Student_ID,Gender,Parent_Education,Lunch_Type
S0849,Female,Master,Standard
S0850,Female,High School,Standard
S0851,Male,High School,Free/Reduced
S0852,Male,Bachelor,Standard
S0853,Male,Bachelor,Standard
S0854,Female,PhD,Standard
S0855,Male,Master,Standard
S0856,Female,Bachelor,Standard
S0857,Female,High School,Free/Reduced
S0858,Male,Bachelor,Standard
S0859,Male,Master,Free/Reduced
S0860,Male,Bachelor,Free/Reduced
S0861,Male,PhD,Standard
S0862,Male,Bachelor,Free/Reduced
S0863,Female,High School,Free/Reduced
S0864,Male,Bachelor,Standard
S0865,Female,Bachelor,Standard
S0866,Female,High School,Standard
S0867,Female,High School,Standard
S0868,Female,Bachelor,Free/Reduced
S0869,Male,High School,Standard
S0870,Female,High School,Standard
S0871,Female,Bachelor,Standard
S0872,Male,Master,Standard
S0873,Male,Bachelor,Free/Reduced
S0874,Female,PhD,Free/Reduced
S0875,Female,Master,Free/Reduced
S0876,Male,Bachelor,Standard
S0877,Female,High School,Standard
S0878,Male,Master,Free/Reduced
S0879,Female,High School,Standard
S0880,Female,Master,Standard
S0881,Male,Bachelor,Standard
S0882,Female,Bachelor,Standard
S0883,Male,Bachelor,Standard
S0884,Female,Bachelor,Standard
S0885,Female,Master,Standard
S0886,Female,High School,Free/Reduced
S0887,Male,Master,Standard
S0888,Male,High School,Standard
S0889,Female,Master,Free/Reduced
S0890,Female,Master,Standard
S0891,Male,Bachelor,Standard
S0892,Female,High School,Free/Reduced
S0893,Female,Master,Free/Reduced
S0894,Female,Master,Standard
S0895,Male,High School,Free/Reduced
S0896,Male,Bachelor,Standard
S0897,Male,Master,Standard
S0898,Male,High School,Standard
S0899,Male,Bachelor,Standard
S0900,Male,Bachelor,Standard
S0901,Male,High School,Standard
S0902,Male,Master,Free/Reduced
S0903,Female,High School,Standard
S0904,Male,Master,Standard
S0905,Male,Bachelor,Free/Reduced
S0906,Female,Bachelor,Free/Reduced
S0907,Female,Bachelor,Standard
S0908,Female,Bachelor,Free/Reduced
S0909,Male,Master,Free/Reduced
S0910,Male,Bachelor,Standard
S0911,Female,Master,Standard
S0912,Female,Bachelor,Standard
S0913,Male,High School,Standard
S0914,Female,High School,Standard
S0915,Female,Master,Standard
S0916,Female,Bachelor,Free/Reduced
S0917,Female,Bachelor,Standard
S0918,Female,Bachelor,Standard
S0919,Male,Bachelor,Free/Reduced
S0920,Female,Bachelor,Free/Reduced
S0921,Female,Bachelor,Free/Reduced
S0922,Male,PhD,Standard
S0923,Male,High School,Standard
S0924,Male,Bachelor,Standard
S0925,Male,High School,Standard
S0926,Female,Master,Standard
S0927,Male,Bachelor,Free/Reduced
S0928,Female,Bachelor,Standard
S0929,Female,Master,Standard
S0930,Female,Bachelor,Standard
S0931,Female,High School,Standard
S0932,Female,Bachelor,Standard
S0933,Female,High School,Free/Reduced
S0934,Male,Master,Standard
S0935,Female,Bachelor,Free/Reduced
S0936,Male,Master,Standard
S0937,Male,Master,Standard
S0938,Female,Master,Free/Reduced
S0939,Male,Bachelor,Standard
S0940,Male,High School,Standard
S0941,Female,Bachelor,Standard
S0942,Female,Master,Standard
S0943,Female,Master,Standard
S0944,Female,Master,Standard
S0945,Female,High School,Standard
S0946,Female,High School,Standard
S0947,Female,Master,Standard
S0948,Male,High School,Free/Reduced
S0949,Female,Bachelor,Free/Reduced
S0950,Female,Bachelor,Standard
S0951,Male,High School,Standard
S0952,Male,Bachelor,Standard
S0953,Female,PhD,Standard
S0954,Female,Master,Standard
S0955,Female,Bachelor,Free/Reduced
S0956,Male,Bachelor,Standard
S0957,Female,Master,Standard
S0958,Female,Bachelor,Standard
S0959,Female,Bachelor,Free/Reduced
S0960,Male,Bachelor,Standard
S0961,Female,High School,Standard
S0962,Male,High School,Free/Reduced
S0963,Male,Master,Standard
S0964,Female,Bachelor,Standard
S0965,Male,High School,Standard
S0966,Male,High School,Standard
S0967,Male,PhD,Standard
S0968,Male,Bachelor,Standard
S0969,Male,Bachelor,Standard
S0970,Female,High School,Standard
S0971,Female,PhD,Free/Reduced
S0972,Female,Master,Free/Reduced
S0973,Male,Bachelor,Free/Reduced
S0974,Male,High School,Free/Reduced
S0975,Female,Bachelor,Free/Reduced
S0976,Female,Master,Standard
S0977,Male,Master,Standard
S0978,Female,PhD,Standard
S0979,Male,Bachelor,Standard
S0980,Female,High School,Standard
S0981,Male,Bachelor,Standard
S0982,Male,Master,Standard
S0983,Male,High School,Standard
S0984,Male,High School,Free/Reduced
S0985,Female,Bachelor,Standard
S0986,Female,Bachelor,Standard
S0987,Female,Master,Standard
S0988,Male,High School,Standard
S0989,Female,High School,Standard
S0990,Male,High School,Standard
S0991,Male,Bachelor,Standard
S0992,Female,Master,Standard
S0993,Female,Bachelor,Standard
S0994,Male,Bachelor,Free/Reduced
S0995,Male,High School,Free/Reduced
S0996,Female,Bachelor,Standard
S0997,Female,PhD,Standard
S0998,Male,Master,Standard
S0999,Female,High School,Free/Reduced
S1000,Female,Bachelor,Standard
